t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.5181666667,0.0006731963,0.0000239459,0.0000015653,0.0013733788,-0.0001316509,-0.0000143515,-0.0288319022,-0.0052315992,-0.0021052990
0.5183333333,0.0006734659,0.0000240380,0.0000016170,0.0013685531,-0.0001325186,-0.0000147047,-0.0290760376,-0.0051801165,-0.0021325474
0.5185000000,0.0006737401,0.0000241301,0.0000016697,0.0013636868,-0.0001333776,-0.0000150624,-0.0293195267,-0.0051283526,-0.0021596645
0.5186666667,0.0006740187,0.0000242219,0.0000017235,0.0013587799,-0.0001342280,-0.0000154246,-0.0295623623,-0.0050763120,-0.0021866422
0.5188333333,0.0006743019,0.0000243134,0.0000017784,0.0013538327,-0.0001350697,-0.0000157913,-0.0298045371,-0.0050239997,-0.0022134724
0.5190000000,0.0006745896,0.0000244048,0.0000018345,0.0013488451,-0.0001359027,-0.0000161624,-0.0300460441,-0.0049714203,-0.0022401471
0.5191666667,0.0006748818,0.0000244959,0.0000018916,0.0013438173,-0.0001367268,-0.0000165380,-0.0302868760,-0.0049185786,-0.0022666585
0.5193333333,0.0006751787,0.0000245867,0.0000019498,0.0013387495,-0.0001375422,-0.0000169180,-0.0305270258,-0.0048654793,-0.0022929986
0.5195000000,0.0006754801,0.0000246772,0.0000020092,0.0013336416,-0.0001383487,-0.0000173023,-0.0307664863,-0.0048121273,-0.0023191594
0.5196666667,0.0006757862,0.0000247673,0.0000020697,0.0013284940,-0.0001391462,-0.0000176910,-0.0310052504,-0.0047585274,-0.0023451331
0.5198333333,0.0006760969,0.0000248571,0.0000021313,0.0013233066,-0.0001399349,-0.0000180840,-0.0312433111,-0.0047046845,-0.0023709119
0.5200000000,0.0006764122,0.0000249465,0.0000021940,0.0013180795,-0.0001407145,-0.0000184813,-0.0314806612,-0.0046506034,-0.0023964881
0.5201666667,0.0006767323,0.0000250356,0.0000022579,0.0013128130,-0.0001414851,-0.0000188829,-0.0317172937,-0.0045962889,-0.0024218537
0.5203333333,0.0006770570,0.0000251242,0.0000023229,0.0013075071,-0.0001422466,-0.0000192886,-0.0319532016,-0.0045417460,-0.0024470012
0.5205000000,0.0006773865,0.0000252124,0.0000023890,0.0013021619,-0.0001429990,-0.0000196985,-0.0321883778,-0.0044869797,-0.0024719228
0.5206666667,0.0006777207,0.0000253001,0.0000024563,0.0012967776,-0.0001437422,-0.0000201126,-0.0324228153,-0.0044319947,-0.0024966109
0.5208333333,0.0006780597,0.0000253873,0.0000025247,0.0012913543,-0.0001444763,-0.0000205307,-0.0326565072,-0.0043767962,-0.0025210580
0.5210000000,0.0006784034,0.0000254740,0.0000025942,0.0012858921,-0.0001452012,-0.0000209529,-0.0328894463,-0.0043213890,-0.0025452565
0.5211666667,0.0006787519,0.0000255602,0.0000026649,0.0012803912,-0.0001459168,-0.0000213791,-0.0331216259,-0.0042657782,-0.0025691990
0.5213333333,0.0006791052,0.0000256459,0.0000027367,0.0012748516,-0.0001466231,-0.0000218093,-0.0333530389,-0.0042099686,-0.0025928780
0.5215000000,0.0006794633,0.0000257309,0.0000028096,0.0012692735,-0.0001473201,-0.0000222434,-0.0335836784,-0.0041539655,-0.0026162862
0.5216666667,0.0006798262,0.0000258154,0.0000028837,0.0012636570,-0.0001480077,-0.0000226814,-0.0338135376,-0.0040977737,-0.0026394162
0.5218333333,0.0006801940,0.0000258993,0.0000029589,0.0012580023,-0.0001486860,-0.0000231232,-0.0340426094,-0.0040413983,-0.0026622609
0.5220000000,0.0006805666,0.0000259825,0.0000030352,0.0012523095,-0.0001493549,-0.0000235688,-0.0342708871,-0.0039848444,-0.0026848129
0.5221666667,0.0006809441,0.0000260651,0.0000031127,0.0012465787,-0.0001500143,-0.0000240182,-0.0344983638,-0.0039281170,-0.0027070652
0.5223333333,0.0006813265,0.0000261470,0.0000031913,0.0012408101,-0.0001506642,-0.0000244712,-0.0347250326,-0.0038712212,-0.0027290107
0.5225000000,0.0006817138,0.0000262283,0.0000032710,0.0012350037,-0.0001513047,-0.0000249278,-0.0349508867,-0.0038141621,-0.0027506425
0.5226666667,0.0006821060,0.0000263088,0.0000033518,0.0012291598,-0.0001519356,-0.0000253881,-0.0351759194,-0.0037569448,-0.0027719535
0.5228333333,0.0006825031,0.0000263885,0.0000034337,0.0012232784,-0.0001525570,-0.0000258518,-0.0354001238,-0.0036995744,-0.0027929369
0.5230000000,0.0006829051,0.0000264675,0.0000035168,0.0012173597,-0.0001531688,-0.0000263191,-0.0356234931,-0.0036420560,-0.0028135860
0.5231666667,0.0006833120,0.0000265458,0.0000036010,0.0012114039,-0.0001537710,-0.0000267897,-0.0358460207,-0.0035843947,-0.0028338939
0.5233333333,0.0006837239,0.0000266232,0.0000036862,0.0012054110,-0.0001543636,-0.0000272637,-0.0360676999,-0.0035265958,-0.0028538541
0.5235000000,0.0006841408,0.0000266998,0.0000037726,0.0011993813,-0.0001549466,-0.0000277410,-0.0362885238,-0.0034686642,-0.0028734600
0.5236666667,0.0006845625,0.0000267756,0.0000038600,0.0011933149,-0.0001555198,-0.0000282215,-0.0365084858,-0.0034106052,-0.0028927052
0.5238333333,0.0006849893,0.0000268505,0.0000039485,0.0011872118,-0.0001560834,-0.0000287052,-0.0367275793,-0.0033524239,-0.0029115831
0.5240000000,0.0006854211,0.0000269246,0.0000040381,0.0011810723,-0.0001566373,-0.0000291920,-0.0369457976,-0.0032941256,-0.0029300874
0.5241666667,0.0006858578,0.0000269978,0.0000041288,0.0011748966,-0.0001571815,-0.0000296819,-0.0371631340,-0.0032357153,-0.0029482120
0.5243333333,0.0006862995,0.0000270700,0.0000042205,0.0011686846,-0.0001577159,-0.0000301748,-0.0373795821,-0.0031771982,-0.0029659506
0.5245000000,0.0006867462,0.0000271413,0.0000043133,0.0011624367,-0.0001582405,-0.0000306706,-0.0375951351,-0.0031185796,-0.0029832972
0.5246666667,0.0006871979,0.0000272117,0.0000044071,0.0011561529,-0.0001587554,-0.0000311692,-0.0378097866,-0.0030598646,-0.0030002458
0.5248333333,0.0006876546,0.0000272811,0.0000045019,0.0011498334,-0.0001592605,-0.0000316706,-0.0380235299,-0.0030010583,-0.0030167905
0.5250000000,0.0006881163,0.0000273495,0.0000045978,0.0011434784,-0.0001597558,-0.0000321748,-0.0382363587,-0.0029421661,-0.0030329254
0.5251666667,0.0006885830,0.0000274169,0.0000046946,0.0011370880,-0.0001602412,-0.0000326816,-0.0384482663,-0.0028831930,-0.0030486449
0.5253333333,0.0006890547,0.0000274833,0.0000047925,0.0011306623,-0.0001607168,-0.0000331910,-0.0386592462,-0.0028241443,-0.0030639433
0.5255000000,0.0006895314,0.0000275487,0.0000048914,0.0011242016,-0.0001611826,-0.0000337029,-0.0388692922,-0.0027650253,-0.0030788151
0.5256666667,0.0006900132,0.0000276129,0.0000049912,0.0011177059,-0.0001616385,-0.0000342173,-0.0390783976,-0.0027058409,-0.0030932548
0.5258333333,0.0006904999,0.0000276762,0.0000050920,0.0011111754,-0.0001620845,-0.0000347340,-0.0392865561,-0.0026465966,-0.0031072572
0.5260000000,0.0006909917,0.0000277383,0.0000051938,0.0011046104,-0.0001625207,-0.0000352530,-0.0394937613,-0.0025872975,-0.0031208170
0.5261666667,0.0006914885,0.0000277993,0.0000052964,0.0010980108,-0.0001629470,-0.0000357743,-0.0397000069,-0.0025279487,-0.0031339290
0.5263333333,0.0006919903,0.0000278592,0.0000054001,0.0010913770,-0.0001633634,-0.0000362977,-0.0399052865,-0.0024685555,-0.0031465882
0.5265000000,0.0006924971,0.0000279179,0.0000055046,0.0010847091,-0.0001637698,-0.0000368232,-0.0401095937,-0.0024091232,-0.0031587897
0.5266666667,0.0006930090,0.0000279755,0.0000056100,0.0010780072,-0.0001641664,-0.0000373506,-0.0403129224,-0.0023496568,-0.0031705287
0.5268333333,0.0006935259,0.0000280319,0.0000057163,0.0010712714,-0.0001645530,-0.0000378800,-0.0405152661,-0.0022901615,-0.0031818004
0.5270000000,0.0006940477,0.0000280872,0.0000058235,0.0010645021,-0.0001649298,-0.0000384112,-0.0407166187,-0.0022306427,-0.0031926002
0.5271666667,0.0006945746,0.0000281412,0.0000059315,0.0010576992,-0.0001652966,-0.0000389442,-0.0409169740,-0.0021711053,-0.0032029236
0.5273333333,0.0006951065,0.0000281940,0.0000060404,0.0010508631,-0.0001656535,-0.0000394789,-0.0411163257,-0.0021115547,-0.0032127662
0.5275000000,0.0006956433,0.0000282455,0.0000061501,0.0010439938,-0.0001660004,-0.0000400151,-0.0413146676,-0.0020519961,-0.0032221238
0.5276666667,0.0006961852,0.0000282958,0.0000062606,0.0010370915,-0.0001663375,-0.0000405529,-0.0415119937,-0.0019924345,-0.0032309920
0.5278333333,0.0006967321,0.0000283449,0.0000063719,0.0010301565,-0.0001666646,-0.0000410921,-0.0417082977,-0.0019328751,-0.0032393670
0.5280000000,0.0006972839,0.0000283926,0.0000064839,0.0010231888,-0.0001669818,-0.0000416327,-0.0419035737,-0.0018733232,-0.0032472446
0.5281666667,0.0006978407,0.0000284391,0.0000065967,0.0010161886,-0.0001672890,-0.0000421745,-0.0420978154,-0.0018137839,-0.0032546212
0.5283333333,0.0006984025,0.0000284843,0.0000067102,0.0010091562,-0.0001675864,-0.0000427176,-0.0422910169,-0.0017542622,-0.0032614928
0.5285000000,0.0006989693,0.0000285281,0.0000068245,0.0010020916,-0.0001678738,-0.0000432617,-0.0424831721,-0.0016947634,-0.0032678561
0.5286666667,0.0006995410,0.0000285706,0.0000069394,0.0009949951,-0.0001681513,-0.0000438068,-0.0426742751,-0.0016352926,-0.0032737074
0.5288333333,0.0007001176,0.0000286118,0.0000070550,0.0009878668,-0.0001684189,-0.0000443529,-0.0428643197,-0.0015758549,-0.0032790434
0.5290000000,0.0007006992,0.0000286516,0.0000071713,0.0009807070,-0.0001686766,-0.0000448999,-0.0430533002,-0.0015164554,-0.0032838608
0.5291666667,0.0007012857,0.0000286900,0.0000072882,0.0009735157,-0.0001689244,-0.0000454475,-0.0432412106,-0.0014570992,-0.0032881566
0.5293333333,0.0007018772,0.0000287271,0.0000074057,0.0009662933,-0.0001691623,-0.0000459959,-0.0434280450,-0.0013977914,-0.0032919276
0.5295000000,0.0007024735,0.0000287627,0.0000075238,0.0009590397,-0.0001693903,-0.0000465449,-0.0436137974,-0.0013385371,-0.0032951710
0.5296666667,0.0007030748,0.0000287969,0.0000076425,0.0009517553,-0.0001696085,-0.0000470943,-0.0437984622,-0.0012793414,-0.0032978841
0.5298333333,0.0007036809,0.0000288298,0.0000077618,0.0009444402,-0.0001698167,-0.0000476442,-0.0439820333,-0.0012202093,-0.0033000642
0.5300000000,0.0007042919,0.0000288611,0.0000078815,0.0009370947,-0.0001700152,-0.0000481943,-0.0441645052,-0.0011611458,-0.0033017088
0.5301666667,0.0007049078,0.0000288911,0.0000080018,0.0009297187,-0.0001702038,-0.0000487447,-0.0443458719,-0.0011021561,-0.0033028154
0.5303333333,0.0007055285,0.0000289196,0.0000081226,0.0009223127,-0.0001703826,-0.0000492953,-0.0445261278,-0.0010432450,-0.0033033818
0.5305000000,0.0007061540,0.0000289466,0.0000082438,0.0009148767,-0.0001705515,-0.0000498458,-0.0447052672,-0.0009844176,-0.0033034059
0.5306666667,0.0007067844,0.0000289722,0.0000083654,0.0009074109,-0.0001707107,-0.0000503964,-0.0448832843,-0.0009256790,-0.0033028857
0.5308333333,0.0007074195,0.0000289962,0.0000084875,0.0008999156,-0.0001708601,-0.0000509468,-0.0450601735,-0.0008670340,-0.0033018192
0.5310000000,0.0007080595,0.0000290188,0.0000086100,0.0008923909,-0.0001709997,-0.0000514970,-0.0452359293,-0.0008084877,-0.0033002047
0.5311666667,0.0007087042,0.0000290399,0.0000087328,0.0008848370,-0.0001711296,-0.0000520469,-0.0454105460,-0.0007500449,-0.0032980406
0.5313333333,0.0007093537,0.0000290595,0.0000088560,0.0008772540,-0.0001712497,-0.0000525964,-0.0455840179,-0.0006917106,-0.0032953253
0.5315000000,0.0007100079,0.0000290775,0.0000089794,0.0008696423,-0.0001713602,-0.0000531453,-0.0457563397,-0.0006334897,-0.0032920575
0.5316666667,0.0007106668,0.0000290940,0.0000091032,0.0008620019,-0.0001714609,-0.0000536937,-0.0459275058,-0.0005753871,-0.0032882359
0.5318333333,0.0007113305,0.0000291090,0.0000092273,0.0008543331,-0.0001715520,-0.0000542414,-0.0460975107,-0.0005174077,-0.0032838594
0.5320000000,0.0007119988,0.0000291224,0.0000093515,0.0008466361,-0.0001716334,-0.0000547883,-0.0462663489,-0.0004595563,-0.0032789270
0.5321666667,0.0007126718,0.0000291343,0.0000094760,0.0008389110,-0.0001717052,-0.0000553344,-0.0464340151,-0.0004018378,-0.0032734378
0.5323333333,0.0007133494,0.0000291447,0.0000096007,0.0008311581,-0.0001717673,-0.0000558795,-0.0466005038,-0.0003442569,-0.0032673912
0.5325000000,0.0007140317,0.0000291534,0.0000097256,0.0008233775,-0.0001718199,-0.0000564235,-0.0467658097,-0.0002868185,-0.0032607865
0.5326666667,0.0007147186,0.0000291606,0.0000098506,0.0008155695,-0.0001718629,-0.0000569664,-0.0469299275,-0.0002295274,-0.0032536232
0.5328333333,0.0007154101,0.0000291662,0.0000099757,0.0008077342,-0.0001718964,-0.0000575080,-0.0470928518,-0.0001723882,-0.0032459011
0.5330000000,0.0007161061,0.0000291703,0.0000101009,0.0007998719,-0.0001719204,-0.0000580484,-0.0472545773,-0.0001154058,-0.0032376198
0.5331666667,0.0007168067,0.0000291727,0.0000102261,0.0007919827,-0.0001719349,-0.0000585873,-0.0474150989,-0.0000585848,-0.0032287794
0.5333333333,0.0007175118,0.0000291736,0.0000103514,0.0007840668,-0.0001719399,-0.0000591246,-0.0475744113,-0.0000019299,-0.0032193799
0.5335000000,0.0007182213,0.0000291728,0.0000104766,0.0007761245,-0.0001719355,-0.0000596604,-0.0477325093,0.0000545541,-0.0032094215
0.5336666667,0.0007189354,0.0000291705,0.0000106019,0.0007681560,-0.0001719217,-0.0000601944,-0.0478893878,0.0001108628,-0.0031989044
0.5338333333,0.0007196539,0.0000291665,0.0000107271,0.0007601614,-0.0001718986,-0.0000607267,-0.0480450417,0.0001669914,-0.0031878292
0.5340000000,0.0007203769,0.0000291609,0.0000108522,0.0007521410,-0.0001718661,-0.0000612570,-0.0481994659,0.0002229353,-0.0031761965
0.5341666667,0.0007211042,0.0000291538,0.0000109772,0.0007440949,-0.0001718243,-0.0000617854,-0.0483526552,0.0002786901,-0.0031640068
0.5343333333,0.0007218359,0.0000291450,0.0000111020,0.0007360234,-0.0001717732,-0.0000623117,-0.0485046048,0.0003342511,-0.0031512612
0.5345000000,0.0007225720,0.0000291345,0.0000112267,0.0007279267,-0.0001717128,-0.0000628358,-0.0486553095,0.0003896138,-0.0031379605
0.5346666667,0.0007233124,0.0000291225,0.0000113512,0.0007198050,-0.0001716433,-0.0000633577,-0.0488047645,0.0004447738,-0.0031241059
0.5348333333,0.0007240571,0.0000291088,0.0000114755,0.0007116585,-0.0001715646,-0.0000638772,-0.0489529648,0.0004997265,-0.0031096987
0.5350000000,0.0007248060,0.0000290935,0.0000115996,0.0007034873,-0.0001714767,-0.0000643943,-0.0490999055,0.0005544676,-0.0030947401
0.5351666667,0.0007255592,0.0000290765,0.0000117233,0.0006952918,-0.0001713798,-0.0000649088,-0.0492455817,0.0006089926,-0.0030792316
0.5353333333,0.0007263166,0.0000290579,0.0000118468,0.0006870721,-0.0001712737,-0.0000654207,-0.0493899887,0.0006632972,-0.0030631750
0.5355000000,0.0007270782,0.0000290377,0.0000119699,0.0006788285,-0.0001711587,-0.0000659298,-0.0495331215,0.0007173770,-0.0030465719
0.5356666667,0.0007278440,0.0000290159,0.0000120926,0.0006705611,-0.0001710346,-0.0000664362,-0.0496749755,0.0007712276,-0.0030294243
0.5358333333,0.0007286138,0.0000289924,0.0000122150,0.0006622702,-0.0001709016,-0.0000669396,-0.0498155459,0.0008248448,-0.0030117341
0.5360000000,0.0007293878,0.0000289673,0.0000123369,0.0006539559,-0.0001707597,-0.0000674401,-0.0499548280,0.0008782243,-0.0029935036
0.5361666667,0.0007301659,0.0000289405,0.0000124584,0.0006456186,-0.0001706088,-0.0000679375,-0.0500928171,0.0009313619,-0.0029747349
0.5363333333,0.0007309479,0.0000289121,0.0000125793,0.0006372583,-0.0001704492,-0.0000684317,-0.0502295086,0.0009842533,-0.0029554305
0.5365000000,0.0007317340,0.0000288821,0.0000126998,0.0006288754,-0.0001702808,-0.0000689226,-0.0503648979,0.0010368945,-0.0029355929
0.5366666667,0.0007325240,0.0000288504,0.0000128198,0.0006204700,-0.0001701036,-0.0000694102,-0.0504989805,0.0010892812,-0.0029152247
0.5368333333,0.0007333180,0.0000288171,0.0000129391,0.0006120424,-0.0001699177,-0.0000698944,-0.0506317517,0.0011414093,-0.0028943288
0.5370000000,0.0007341159,0.0000287821,0.0000130579,0.0006035928,-0.0001697231,-0.0000703750,-0.0507632071,0.0011932748,-0.0028729079
