t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.1186666667,0.0055540259,0.0000800271,0.0000000104,0.0046342255,0.0002505257,0.0000019270,-0.0319510701,-0.0085067980,-0.0000922967
0.1188333333,0.0055412762,0.0000791264,0.0000000103,0.0046289033,0.0002491119,0.0000019116,-0.0319143762,-0.0084587952,-0.0000928270
0.1190000000,0.0055285559,0.0000782358,0.0000000102,0.0046235873,0.0002477060,0.0000018961,-0.0318777245,-0.0084110631,-0.0000933214
0.1191666667,0.0055158647,0.0000773553,0.0000000100,0.0046182774,0.0002463081,0.0000018805,-0.0318411148,-0.0083636004,-0.0000937806
0.1193333333,0.0055032027,0.0000764847,0.0000000099,0.0046129735,0.0002449181,0.0000018648,-0.0318045472,-0.0083164054,-0.0000942055
0.1195000000,0.0054905698,0.0000756239,0.0000000098,0.0046076758,0.0002435360,0.0000018491,-0.0317680216,-0.0082694766,-0.0000945967
0.1196666667,0.0054779658,0.0000747728,0.0000000097,0.0046023842,0.0002421616,0.0000018333,-0.0317315379,-0.0082228126,-0.0000949549
0.1198333333,0.0054653908,0.0000739312,0.0000000096,0.0045970986,0.0002407950,0.0000018174,-0.0316950961,-0.0081764118,-0.0000952810
0.1200000000,0.0054528446,0.0000730991,0.0000000095,0.0045918191,0.0002394361,0.0000018015,-0.0316586962,-0.0081302728,-0.0000955756
0.1201666667,0.0054403273,0.0000722764,0.0000000094,0.0045865457,0.0002380848,0.0000017856,-0.0316223381,-0.0080843940,-0.0000958395
0.1203333333,0.0054278386,0.0000714630,0.0000000093,0.0045812783,0.0002367412,0.0000017696,-0.0315860217,-0.0080387741,-0.0000960733
0.1205000000,0.0054153787,0.0000706587,0.0000000091,0.0045760169,0.0002354052,0.0000017535,-0.0315497471,-0.0079934116,-0.0000962778
0.1206666667,0.0054029473,0.0000698634,0.0000000090,0.0045707617,0.0002340767,0.0000017375,-0.0315135141,-0.0079483049,-0.0000964535
0.1208333333,0.0053905445,0.0000690771,0.0000000089,0.0045655124,0.0002327557,0.0000017214,-0.0314773227,-0.0079034528,-0.0000966013
0.1210000000,0.0053781702,0.0000682997,0.0000000088,0.0045602692,0.0002314422,0.0000017053,-0.0314411728,-0.0078588536,-0.0000967217
0.1211666667,0.0053658242,0.0000675310,0.0000000087,0.0045550320,0.0002301360,0.0000016891,-0.0314050645,-0.0078145061,-0.0000968154
0.1213333333,0.0053535066,0.0000667709,0.0000000086,0.0045498008,0.0002288373,0.0000016730,-0.0313689977,-0.0077704087,-0.0000968830
0.1215000000,0.0053412173,0.0000660194,0.0000000084,0.0045445756,0.0002275459,0.0000016568,-0.0313329722,-0.0077265602,-0.0000969252
0.1216666667,0.0053289562,0.0000652764,0.0000000083,0.0045393564,0.0002262617,0.0000016407,-0.0312969882,-0.0076829590,-0.0000969426
0.1218333333,0.0053167232,0.0000645417,0.0000000082,0.0045341432,0.0002249848,0.0000016245,-0.0312610455,-0.0076396038,-0.0000969358
0.1220000000,0.0053045184,0.0000638153,0.0000000081,0.0045289360,0.0002237151,0.0000016084,-0.0312251440,-0.0075964932,-0.0000969054
0.1221666667,0.0052923415,0.0000630971,0.0000000080,0.0045237348,0.0002224526,0.0000015922,-0.0311892838,-0.0075536258,-0.0000968520
0.1223333333,0.0052801926,0.0000623869,0.0000000079,0.0045185396,0.0002211972,0.0000015761,-0.0311534647,-0.0075110002,-0.0000967761
0.1225000000,0.0052680716,0.0000616848,0.0000000077,0.0045133503,0.0002199489,0.0000015600,-0.0311176868,-0.0074686152,-0.0000966784
0.1226666667,0.0052559784,0.0000609905,0.0000000076,0.0045081670,0.0002187076,0.0000015439,-0.0310819500,-0.0074264692,-0.0000965595
0.1228333333,0.0052439129,0.0000603041,0.0000000075,0.0045029896,0.0002174734,0.0000015278,-0.0310462542,-0.0073845611,-0.0000964198
0.1230000000,0.0052318752,0.0000596254,0.0000000074,0.0044978182,0.0002162461,0.0000015117,-0.0310105995,-0.0073428894,-0.0000962600
0.1231666667,0.0052198651,0.0000589543,0.0000000073,0.0044926527,0.0002150257,0.0000014957,-0.0309749856,-0.0073014527,-0.0000960805
0.1233333333,0.0052078825,0.0000582908,0.0000000072,0.0044874932,0.0002138122,0.0000014797,-0.0309394127,-0.0072602499,-0.0000958819
0.1235000000,0.0051959275,0.0000576347,0.0000000070,0.0044823395,0.0002126056,0.0000014637,-0.0309038806,-0.0072192795,-0.0000956648
0.1236666667,0.0051839999,0.0000569860,0.0000000069,0.0044771918,0.0002114057,0.0000014478,-0.0308683893,-0.0071785403,-0.0000954296
0.1238333333,0.0051720997,0.0000563447,0.0000000068,0.0044720500,0.0002102127,0.0000014319,-0.0308329388,-0.0071380310,-0.0000951768
0.1240000000,0.0051602268,0.0000557105,0.0000000067,0.0044669141,0.0002090264,0.0000014161,-0.0307975290,-0.0070977501,-0.0000949070
0.1241666667,0.0051483812,0.0000550835,0.0000000066,0.0044617841,0.0002078467,0.0000014003,-0.0307621598,-0.0070576966,-0.0000946206
0.1243333333,0.0051365628,0.0000544635,0.0000000065,0.0044566600,0.0002066737,0.0000013845,-0.0307268313,-0.0070178690,-0.0000943181
0.1245000000,0.0051247714,0.0000538505,0.0000000064,0.0044515418,0.0002055074,0.0000013688,-0.0306915434,-0.0069782662,-0.0000940001
0.1246666667,0.0051130072,0.0000532445,0.0000000063,0.0044464295,0.0002043476,0.0000013532,-0.0306562959,-0.0069388867,-0.0000936668
0.1248333333,0.0051012700,0.0000526452,0.0000000061,0.0044413230,0.0002031944,0.0000013376,-0.0306210890,-0.0068997295,-0.0000933189
0.1250000000,0.0050895597,0.0000520527,0.0000000060,0.0044362224,0.0002020477,0.0000013221,-0.0305859225,-0.0068607932,-0.0000929568
0.1251666667,0.0050778763,0.0000514668,0.0000000059,0.0044311277,0.0002009074,0.0000013066,-0.0305507964,-0.0068220766,-0.0000925808
0.1253333333,0.0050662197,0.0000508876,0.0000000058,0.0044260388,0.0001997736,0.0000012912,-0.0305157106,-0.0067835784,-0.0000921916
0.1255000000,0.0050545898,0.0000503148,0.0000000057,0.0044209557,0.0001986462,0.0000012759,-0.0304806651,-0.0067452974,-0.0000917893
0.1256666667,0.0050429867,0.0000497485,0.0000000056,0.0044158785,0.0001975251,0.0000012606,-0.0304456598,-0.0067072325,-0.0000913746
0.1258333333,0.0050314102,0.0000491886,0.0000000055,0.0044108072,0.0001964104,0.0000012455,-0.0304106948,-0.0066693822,-0.0000909477
0.1260000000,0.0050198603,0.0000486350,0.0000000054,0.0044057416,0.0001953020,0.0000012303,-0.0303757699,-0.0066317456,-0.0000905092
0.1261666667,0.0050083368,0.0000480876,0.0000000053,0.0044006819,0.0001941998,0.0000012153,-0.0303408851,-0.0065943213,-0.0000900594
0.1263333333,0.0049968399,0.0000475464,0.0000000052,0.0043956279,0.0001931038,0.0000012003,-0.0303060404,-0.0065571082,-0.0000895986
0.1265000000,0.0049853693,0.0000470113,0.0000000051,0.0043905798,0.0001920140,0.0000011854,-0.0302712357,-0.0065201050,-0.0000891274
0.1266666667,0.0049739251,0.0000464821,0.0000000050,0.0043855375,0.0001909304,0.0000011706,-0.0302364709,-0.0064833106,-0.0000886460
0.1268333333,0.0049625071,0.0000459590,0.0000000049,0.0043805010,0.0001898529,0.0000011559,-0.0302017461,-0.0064467238,-0.0000881548
0.1270000000,0.0049511154,0.0000454417,0.0000000048,0.0043754702,0.0001887815,0.0000011412,-0.0301670612,-0.0064103435,-0.0000876542
0.1271666667,0.0049397498,0.0000449303,0.0000000047,0.0043704452,0.0001877161,0.0000011266,-0.0301324161,-0.0063741684,-0.0000871446
0.1273333333,0.0049284102,0.0000444246,0.0000000046,0.0043654260,0.0001866567,0.0000011122,-0.0300978108,-0.0063381974,-0.0000866262
0.1275000000,0.0049170968,0.0000439246,0.0000000045,0.0043604126,0.0001856033,0.0000010978,-0.0300632452,-0.0063024294,-0.0000860995
0.1276666667,0.0049058092,0.0000434302,0.0000000044,0.0043554049,0.0001845559,0.0000010835,-0.0300287194,-0.0062668633,-0.0000855648
0.1278333333,0.0048945476,0.0000429414,0.0000000043,0.0043504030,0.0001835143,0.0000010692,-0.0299942331,-0.0062314978,-0.0000850224
0.1280000000,0.0048833119,0.0000424581,0.0000000043,0.0043454068,0.0001824787,0.0000010551,-0.0299597865,-0.0061963318,-0.0000844726
0.1281666667,0.0048721019,0.0000419802,0.0000000042,0.0043404164,0.0001814488,0.0000010411,-0.0299253795,-0.0061613643,-0.0000839157
0.1283333333,0.0048609177,0.0000415077,0.0000000041,0.0043354316,0.0001804248,0.0000010272,-0.0298910119,-0.0061265940,-0.0000833521
0.1285000000,0.0048497592,0.0000410406,0.0000000040,0.0043304526,0.0001794066,0.0000010133,-0.0298566838,-0.0060920200,-0.0000827821
0.1286666667,0.0048386262,0.0000405786,0.0000000039,0.0043254794,0.0001783941,0.0000009996,-0.0298223952,-0.0060576410,-0.0000822060
0.1288333333,0.0048275188,0.0000401219,0.0000000038,0.0043205118,0.0001773874,0.0000009859,-0.0297881459,-0.0060234561,-0.0000816240
0.1290000000,0.0048164370,0.0000396704,0.0000000037,0.0043155500,0.0001763863,0.0000009723,-0.0297539360,-0.0059894640,-0.0000810364
