t,Ekin,Epot,Etot
0.0331666667,0.0738555188,0.1033414015,0.1771969203
0.0333333333,0.0746753746,0.1025210367,0.1771964113
0.0335000000,0.0754987375,0.1016972151,0.1771959526
0.0336666667,0.0763182702,0.1008772746,0.1771955449
0.0338333333,0.0771274481,0.1000677397,0.1771951878
0.0340000000,0.0779205558,0.0992743246,0.1771948804
0.0341666667,0.0786926722,0.0985019490,0.1771946211
0.0343333333,0.0794396447,0.0977547632,0.1771944079
0.0345000000,0.0801580563,0.0970361818,0.1771942381
0.0346666667,0.0808451839,0.0963489249,0.1771941088
0.0348333333,0.0814989528,0.0956950641,0.1771940169
0.0350000000,0.0821178858,0.0950760732,0.1771939590
0.0351666667,0.0827010501,0.0944928816,0.1771939317
0.0353333333,0.0832480029,0.0939459288,0.1771939317
0.0355000000,0.0837587356,0.0934352197,0.1771939553
0.0356666667,0.0842336197,0.0929603796,0.1771939993
0.0358333333,0.0846733532,0.0925207074,0.1771940605
0.0360000000,0.0850789095,0.0921152264,0.1771941359
0.0361666667,0.0854514891,0.0917427335,0.1771942226
0.0363333333,0.0857924737,0.0914018443,0.1771943180
0.0365000000,0.0861033849,0.0910910348,0.1771944197
0.0366666667,0.0863858454,0.0908086801,0.1771945255
0.0368333333,0.0866415453,0.0905530884,0.1771946336
0.0370000000,0.0868722107,0.0903225316,0.1771947423
0.0371666667,0.0870795780,0.0901152722,0.1771948502
0.0373333333,0.0872653699,0.0899295860,0.1771949559
0.0375000000,0.0874312769,0.0897637818,0.1771950586
0.0376666667,0.0875789406,0.0896162169,0.1771951575
0.0378333333,0.0877099411,0.0894853107,0.1771952518
0.0380000000,0.0878257867,0.0893695545,0.1771953412
0.0381666667,0.0879279066,0.0892675187,0.1771954253
0.0383333333,0.0880176457,0.0891778582,0.1771955039
0.0385000000,0.0880962613,0.0890993156,0.1771955769
0.0386666667,0.0881649221,0.0890307223,0.1771956444
0.0388333333,0.0882247078,0.0889709985,0.1771957064
0.0390000000,0.0882766111,0.0889191520,0.1771957631
0.0391666667,0.0883215395,0.0888742752,0.1771958147
0.0393333333,0.0883603189,0.0888355425,0.1771958614
0.0395000000,0.0883936976,0.0888022059,0.1771959035
0.0396666667,0.0884223501,0.0887735913,0.1771959413
0.0398333333,0.0884468819,0.0887490932,0.1771959751
0.0400000000,0.0884678346,0.0887281706,0.1771960052
0.0401666667,0.0884856902,0.0887103417,0.1771960319
0.0403333333,0.0885008761,0.0886951793,0.1771960555
0.0405000000,0.0885137701,0.0886823061,0.1771960762
0.0406666667,0.0885247044,0.0886713900,0.1771960944
0.0408333333,0.0885339700,0.0886621402,0.1771961102
0.0410000000,0.0885418213,0.0886543027,0.1771961240
0.0411666667,0.0885484791,0.0886476569,0.1771961359
0.0413333333,0.0885541346,0.0886420116,0.1771961462
0.0415000000,0.0885589528,0.0886372022,0.1771961550
0.0416666667,0.0885630748,0.0886330877,0.1771961625
0.0418333333,0.0885666211,0.0886295478,0.1771961689
0.0420000000,0.0885696937,0.0886264805,0.1771961742
0.0421666667,0.0885723785,0.0886238002,0.1771961787
0.0423333333,0.0885747467,0.0886214357,0.1771961824
0.0425000000,0.0885768573,0.0886193281,0.1771961853
0.0426666667,0.0885787580,0.0886174297,0.1771961877
0.0428333333,0.0885804869,0.0886157026,0.1771961895
0.0430000000,0.0885820738,0.0886141172,0.1771961909
0.0431666667,0.0885835406,0.0886126513,0.1771961919
0.0433333333,0.0885849034,0.0886112891,0.1771961925
0.0435000000,0.0885861723,0.0886100206,0.1771961929
0.0436666667,0.0885873527,0.0886088403,0.1771961930
0.0438333333,0.0885884461,0.0886077467,0.1771961928
0.0440000000,0.0885894506,0.0886067419,0.1771961925
0.0441666667,0.0885903615,0.0886058306,0.1771961921
0.0443333333,0.0885911719,0.0886050196,0.1771961916
0.0445000000,0.0885918734,0.0886043176,0.1771961910
0.0446666667,0.0885924564,0.0886037340,0.1771961903
0.0448333333,0.0885929107,0.0886032789,0.1771961897
0.0450000000,0.0885932262,0.0886029628,0.1771961891
0.0451666667,0.0885933930,0.0886027955,0.1771961885
0.0453333333,0.0885934020,0.0886027860,0.1771961880
0.0455000000,0.0885932452,0.0886029424,0.1771961876
0.0456666667,0.0885929164,0.0886032710,0.1771961873
0.0458333333,0.0885924110,0.0886037762,0.1771961872
0.0460000000,0.0885917269,0.0886044603,0.1771961872
0.0461666667,0.0885908641,0.0886053232,0.1771961874
0.0463333333,0.0885898256,0.0886063621,0.1771961877
0.0465000000,0.0885886168,0.0886075714,0.1771961882
0.0466666667,0.0885872463,0.0886089427,0.1771961889
0.0468333333,0.0885857253,0.0886104646,0.1771961898
0.0470000000,0.0885840679,0.0886121230,0.1771961909
0.0471666667,0.0885822911,0.0886139010,0.1771961921
0.0473333333,0.0885804143,0.0886157791,0.1771961935
0.0475000000,0.0885784592,0.0886177358,0.1771961949
0.0476666667,0.0885764495,0.0886197470,0.1771961965
0.0478333333,0.0885744107,0.0886217875,0.1771961982
0.0480000000,0.0885723694,0.0886238305,0.1771961999
0.0481666667,0.0885703532,0.0886258485,0.1771962017
0.0483333333,0.0885683900,0.0886278134,0.1771962034
0.0485000000,0.0885665076,0.0886296975,0.1771962051
0.0486666667,0.0885647332,0.0886314736,0.1771962068
0.0488333333,0.0885630927,0.0886331156,0.1771962083
0.0490000000,0.0885616106,0.0886345991,0.1771962097
0.0491666667,0.0885603093,0.0886359016,0.1771962109
0.0493333333,0.0885592087,0.0886370033,0.1771962120
0.0495000000,0.0885583256,0.0886378872,0.1771962129
0.0496666667,0.0885576739,0.0886385395,0.1771962135
0.0498333333,0.0885572638,0.0886389501,0.1771962139
0.0500000000,0.0885571018,0.0886391123,0.1771962141
0.0501666667,0.0885571905,0.0886390235,0.1771962140
0.0503333333,0.0885575288,0.0886386848,0.1771962137
0.0505000000,0.0885581116,0.0886381015,0.1771962131
0.0506666667,0.0885589300,0.0886372824,0.1771962123
0.0508333333,0.0885599715,0.0886362399,0.1771962113
0.0510000000,0.0885612202,0.0886349900,0.1771962102
0.0511666667,0.0885626573,0.0886335515,0.1771962088
0.0513333333,0.0885642613,0.0886319460,0.1771962073
0.0515000000,0.0885660082,0.0886301975,0.1771962057
0.0516666667,0.0885678724,0.0886283316,0.1771962040
0.0518333333,0.0885698270,0.0886263753,0.1771962023
0.0520000000,0.0885718441,0.0886243565,0.1771962005
0.0521666667,0.0885738955,0.0886223032,0.1771961988
0.0523333333,0.0885759534,0.0886202436,0.1771961971
0.0525000000,0.0885779905,0.0886182049,0.1771961954
0.0526666667,0.0885799807,0.0886162132,0.1771961939
0.0528333333,0.0885818992,0.0886142932,0.1771961925
0.0530000000,0.0885837236,0.0886124676,0.1771961912
0.0531666667,0.0885854334,0.0886107567,0.1771961901
0.0533333333,0.0885870108,0.0886091783,0.1771961891
0.0535000000,0.0885884408,0.0886077476,0.1771961884
0.0536666667,0.0885897111,0.0886064767,0.1771961878
0.0538333333,0.0885908127,0.0886053747,0.1771961874
0.0540000000,0.0885917394,0.0886044478,0.1771961872
0.0541666667,0.0885924883,0.0886036989,0.1771961872
0.0543333333,0.0885930591,0.0886031283,0.1771961874
0.0545000000,0.0885934545,0.0886027332,0.1771961877
0.0546666667,0.0885936799,0.0886025083,0.1771961882
0.0548333333,0.0885937430,0.0886024458,0.1771961888
