t,Ekin,Epot,Etot
0.2313333333,0.0004465378,0.0001613581,0.0006078958
0.2315000000,0.0004432532,0.0001659461,0.0006091993
0.2316666667,0.0004398829,0.0001705986,0.0006104815
0.2318333333,0.0004364284,0.0001753142,0.0006117427
0.2320000000,0.0004328913,0.0001800920,0.0006129833
0.2321666667,0.0004292731,0.0001849308,0.0006142039
0.2323333333,0.0004255755,0.0001898294,0.0006154049
0.2325000000,0.0004218001,0.0001947860,0.0006165861
0.2326666667,0.0004179487,0.0001997981,0.0006177468
0.2328333333,0.0004140229,0.0002048632,0.0006188861
0.2330000000,0.0004100246,0.0002099786,0.0006200032
0.2331666667,0.0004059555,0.0002151422,0.0006210977
0.2333333333,0.0004018176,0.0002203516,0.0006221692
0.2335000000,0.0003976126,0.0002256049,0.0006232175
0.2336666667,0.0003933426,0.0002308997,0.0006242423
0.2338333333,0.0003890094,0.0002362345,0.0006252438
0.2340000000,0.0003846150,0.0002416076,0.0006262225
0.2341666667,0.0003801614,0.0002470179,0.0006271793
0.2343333333,0.0003756507,0.0002524643,0.0006281150
0.2345000000,0.0003710850,0.0002579450,0.0006290300
0.2346666667,0.0003664663,0.0002634574,0.0006299237
0.2348333333,0.0003617969,0.0002689989,0.0006307958
0.2350000000,0.0003570788,0.0002745668,0.0006316456
0.2351666667,0.0003523143,0.0002801589,0.0006324732
0.2353333333,0.0003475056,0.0002857731,0.0006332787
0.2355000000,0.0003426550,0.0002914074,0.0006340624
0.2356666667,0.0003377646,0.0002970600,0.0006348245
0.2358333333,0.0003328368,0.0003027284,0.0006355652
0.2360000000,0.0003278739,0.0003084107,0.0006362846
0.2361666667,0.0003228782,0.0003141047,0.0006369829
0.2363333333,0.0003178521,0.0003198079,0.0006376600
0.2365000000,0.0003127980,0.0003255174,0.0006383153
0.2366666667,0.0003077182,0.0003312304,0.0006389485
0.2368333333,0.0003026151,0.0003369442,0.0006395593
0.2370000000,0.0002974912,0.0003426570,0.0006401482
0.2371666667,0.0002923488,0.0003483673,0.0006407162
0.2373333333,0.0002871905,0.0003540739,0.0006412644
0.2375000000,0.0002820187,0.0003597752,0.0006417938
0.2376666667,0.0002768358,0.0003654689,0.0006423047
0.2378333333,0.0002716445,0.0003711523,0.0006427968
0.2380000000,0.0002664471,0.0003768225,0.0006432696
0.2381666667,0.0002612463,0.0003824766,0.0006437229
0.2383333333,0.0002560444,0.0003881119,0.0006441563
0.2385000000,0.0002508441,0.0003937257,0.0006445698
0.2386666667,0.0002456478,0.0003993155,0.0006449633
0.2388333333,0.0002404581,0.0004048791,0.0006453372
0.2390000000,0.0002352774,0.0004104148,0.0006456923
0.2391666667,0.0002301083,0.0004159211,0.0006460294
0.2393333333,0.0002249534,0.0004213961,0.0006463495
0.2395000000,0.0002198152,0.0004268379,0.0006466531
0.2396666667,0.0002146961,0.0004322439,0.0006469401
0.2398333333,0.0002095988,0.0004376116,0.0006472104
0.2400000000,0.0002045258,0.0004429384,0.0006474642
0.2401666667,0.0001994796,0.0004482220,0.0006477016
0.2403333333,0.0001944627,0.0004534603,0.0006479230
0.2405000000,0.0001894777,0.0004586512,0.0006481288
0.2406666667,0.0001845269,0.0004637923,0.0006483191
0.2408333333,0.0001796129,0.0004688813,0.0006484942
0.2410000000,0.0001747382,0.0004739161,0.0006486543
0.2411666667,0.0001699053,0.0004788948,0.0006488001
0.2413333333,0.0001651165,0.0004838155,0.0006489320
0.2415000000,0.0001603743,0.0004886762,0.0006490505
0.2416666667,0.0001556812,0.0004934746,0.0006491558
0.2418333333,0.0001510396,0.0004982087,0.0006492482
0.2420000000,0.0001464518,0.0005028763,0.0006493280
0.2421666667,0.0001419202,0.0005074756,0.0006493958
0.2423333333,0.0001374471,0.0005120050,0.0006494521
0.2425000000,0.0001330350,0.0005164626,0.0006494975
0.2426666667,0.0001286860,0.0005208464,0.0006495324
0.2428333333,0.0001244026,0.0005251543,0.0006495570
0.2430000000,0.0001201869,0.0005293845,0.0006495715
0.2431666667,0.0001160413,0.0005335351,0.0006495763
