t,Ekin,Epot,Etot
0.0373333333,0.0565908735,0.0541257086,0.1107165821
0.0375000000,0.0567712977,0.0539453998,0.1107166975
0.0376666667,0.0569735331,0.0537432841,0.1107168172
0.0378333333,0.0571994919,0.0535174482,0.1107169401
0.0380000000,0.0574511381,0.0532659269,0.1107170650
0.0381666667,0.0577304682,0.0529867224,0.1107171906
0.0383333333,0.0580394880,0.0526778271,0.1107173151
0.0385000000,0.0583801859,0.0523372507,0.1107174366
0.0386666667,0.0587545016,0.0519630513,0.1107175529
0.0388333333,0.0591642902,0.0515533712,0.1107176614
0.0390000000,0.0596112824,0.0511064770,0.1107177594
0.0391666667,0.0600970404,0.0506208035,0.1107178439
0.0393333333,0.0606229089,0.0500950026,0.1107179115
0.0395000000,0.0611899634,0.0495279955,0.1107179588
0.0396666667,0.0617989535,0.0489190287,0.1107179822
0.0398333333,0.0624502446,0.0482677330,0.1107179776
0.0400000000,0.0631437565,0.0475741848,0.1107179413
0.0401666667,0.0638789006,0.0468389687,0.1107178693
0.0403333333,0.0646545165,0.0460632411,0.1107177576
0.0405000000,0.0654688095,0.0452487930,0.1107176024
0.0406666667,0.0663192896,0.0443981106,0.1107174002
0.0408333333,0.0672027136,0.0435144338,0.1107171475
0.0410000000,0.0681150326,0.0426018088,0.1107168414
0.0411666667,0.0690513445,0.0416651350,0.1107164796
0.0413333333,0.0700058563,0.0407102038,0.1107160601
0.0415000000,0.0709718544,0.0397437276,0.1107155819
0.0416666667,0.0719416874,0.0387733574,0.1107150448
0.0418333333,0.0729067620,0.0378076872,0.1107144493
0.0420000000,0.0738575536,0.0368562435,0.1107137971
0.0421666667,0.0747836328,0.0359294582,0.1107130910
0.0423333333,0.0756737107,0.0350386243,0.1107123351
0.0425000000,0.0765157023,0.0341958321,0.1107115344
0.0426666667,0.0772968094,0.0334138861,0.1107106955
0.0428333333,0.0780036248,0.0327062012,0.1107098261
0.0430000000,0.0786222565,0.0320866787,0.1107089352
0.0431666667,0.0791384717,0.0315695615,0.1107080332
0.0433333333,0.0795378613,0.0311692702,0.1107071315
0.0435000000,0.0798060224,0.0309002201,0.1107062425
0.0436666667,0.0799287581,0.0307766216,0.1107053797
0.0438333333,0.0798922918,0.0308122654,0.1107045572
0.0440000000,0.0796834937,0.0310202962,0.1107037899
0.0441666667,0.0792901167,0.0314129761,0.1107030928
0.0443333333,0.0787010374,0.0320014437,0.1107024811
0.0445000000,0.0779064990,0.0327954709,0.1107019699
0.0446666667,0.0768983516,0.0338032222,0.1107015738
0.0448333333,0.0756702845,0.0350310220,0.1107013065
0.0450000000,0.0742180474,0.0364831335,0.1107011809
0.0451666667,0.0725396532,0.0381615552,0.1107012083
0.0453333333,0.0706355600,0.0400658385,0.1107013985
0.0455000000,0.0685088260,0.0421929332,0.1107017591
0.0456666667,0.0661652323,0.0445370635,0.1107022958
0.0458333333,0.0636133712,0.0470896402,0.1107030114
0.0460000000,0.0608646944,0.0498392121,0.1107039065
0.0461666667,0.0579335187,0.0527714599,0.1107049786
0.0463333333,0.0548369866,0.0558692357,0.1107062223
0.0465000000,0.0515949803,0.0591126489,0.1107076292
0.0466666667,0.0482299875,0.0624792005,0.1107091880
0.0468333333,0.0447669197,0.0659439646,0.1107108843
0.0470000000,0.0412328842,0.0694798169,0.1107127011
0.0471666667,0.0376569108,0.0730577079,0.1107146187
0.0473333333,0.0340696369,0.0766469782,0.1107166151
0.0475000000,0.0305029555,0.0802157105,0.1107186660
0.0476666667,0.0269896297,0.0837311160,0.1107207457
0.0478333333,0.0235628804,0.0871599466,0.1107228271
0.0480000000,0.0202559537,0.0904689284,0.1107248821
0.0481666667,0.0171016742,0.0936252084,0.1107268826
0.0483333333,0.0141319928,0.0965968075,0.1107288002
0.0485000000,0.0113775367,0.0993530709,0.1107306075
0.0486666667,0.0088671691,0.1018651088,0.1107322780
0.0488333333,0.0066275680,0.1041062189,0.1107337868
0.0490000000,0.0046828296,0.1060522819,0.1107351114
0.0491666667,0.0030541070,0.1076821246,0.1107362316
0.0493333333,0.0017592888,0.1089778413,0.1107371302
0.0495000000,0.0008127243,0.1099250689,0.1107377932
0.0496666667,0.0002250013,0.1105132090,0.1107382104
0.0498333333,0.0000027810,0.1107355940,0.1107383750
0.0500000000,0.0001486921,0.1105895923,0.1107382844
0.0501666667,0.0006612877,0.1100766521,0.1107379398
0.0503333333,0.0015350652,0.1092022812,0.1107373465
0.0505000000,0.0027605487,0.1079759646,0.1107365133
0.0506666667,0.0043244324,0.1064110206,0.1107354530
0.0508333333,0.0062097833,0.1045243983,0.1107341815
0.0510000000,0.0083962970,0.1023364212,0.1107327182
0.0511666667,0.0108606041,0.0998704807,0.1107310849
0.0513333333,0.0135766192,0.0971526864,0.1107293057
0.0515000000,0.0165159272,0.0942114795,0.1107274067
0.0516666667,0.0196481989,0.0910772164,0.1107254153
0.0518333333,0.0229416285,0.0877817312,0.1107233597
0.0520000000,0.0263633842,0.0843578844,0.1107212685
0.0521666667,0.0298800644,0.0808391059,0.1107191702
0.0523333333,0.0334581512,0.0772589412,0.1107170924
