iter,S,delta
436,2.92355,0.000142848
437,2.92314,0.000142339
438,2.92272,0.000141832
439,2.92231,0.000141327
440,2.9219,0.000140823
441,2.92149,0.000140322
442,2.92108,0.000139822
443,2.92067,0.000139323
444,2.92027,0.000138827
445,2.91986,0.000138332
446,2.91946,0.000137839
447,2.91906,0.000137348
448,2.91866,0.000136859
449,2.91826,0.000136371
450,2.91786,0.000135885
451,2.91747,0.0001354
452,2.91708,0.000134917
453,2.91668,0.000134436
454,2.91629,0.000133957
455,2.9159,0.000133479
456,2.91552,0.000133003
457,2.91513,0.000132529
458,2.91474,0.000132056
459,2.91436,0.000131585
460,2.91398,0.000131115
461,2.9136,0.000130647
462,2.91322,0.000130181
463,2.91284,0.000129716
464,2.91246,0.000129253
465,2.91209,0.000128792
466,2.91172,0.000128332
467,2.91134,0.000127874
468,2.91097,0.000127417
469,2.9106,0.000126962
470,2.91024,0.000126508
471,2.90987,0.000126056
472,2.9095,0.000125606
473,2.90914,0.000125157
474,2.90878,0.00012471
475,2.90841,0.000124264
476,2.90805,0.00012382
477,2.9077,0.000123377
478,2.90734,0.000122936
479,2.90698,0.000122496
480,2.90663,0.000122058
481,2.90627,0.000121622
482,2.90592,0.000121187
483,2.90557,0.000120753
484,2.90522,0.000120321
485,2.90487,0.00011989
486,2.90453,0.000119461
487,2.90418,0.000119034
488,2.90384,0.000118608
489,2.90349,0.000118183
490,2.90315,0.00011776
491,2.90281,0.000117338
492,2.90247,0.000116918
493,2.90213,0.000116499
494,2.9018,0.000116082
495,2.90146,0.000115666
496,2.90113,0.000115251
497,2.90079,0.000114838
498,2.90046,0.000114426
499,2.90013,0.000114016
500,2.8998,0.000113607
501,2.89947,0.0001132
502,2.89914,0.000112794
503,2.89882,0.000112389
504,2.89849,0.000111986
505,2.89817,0.000111584
506,2.89785,0.000111184
507,2.89753,0.000110785
508,2.89721,0.000110387
509,2.89689,0.000109991
510,2.89657,0.000109596
511,2.89625,0.000109203
512,2.89594,0.00010881
513,2.89563,0.00010842
514,2.89531,0.00010803
515,2.895,0.000107642
516,2.89469,0.000107255
517,2.89438,0.00010687
518,2.89407,0.000106486
519,2.89377,0.000106103
520,2.89346,0.000105721
521,2.89316,0.000105341
522,2.89285,0.000104963
523,2.89255,0.000104585
524,2.89225,0.000104209
525,2.89195,0.000103834
526,2.89165,0.00010346
527,2.89135,0.000103088
528,2.89105,0.000102717
529,2.89076,0.000102347
530,2.89046,0.000101979
531,2.89017,0.000101612
532,2.88988,0.000101246
533,2.88958,0.000100881
534,2.88929,0.000100518
535,2.889,0.000100156
536,2.88872,9.9795e-05
537,2.88843,9.94354e-05
538,2.88814,9.90771e-05
539,2.88786,9.872e-05
540,2.88757,9.83641e-05
541,2.88729,9.80095e-05
542,2.88701,9.76562e-05
543,2.88673,9.7304e-05
544,2.88645,9.69531e-05
545,2.88617,9.66034e-05
546,2.88589,9.62549e-05
547,2.88561,9.59076e-05
548,2.88534,9.55616e-05
549,2.88506,9.52167e-05
550,2.88479,9.4873e-05
551,2.88452,9.45306e-05
552,2.88425,9.41893e-05
553,2.88398,9.38492e-05
554,2.88371,9.35103e-05
555,2.88344,9.31726e-05
556,2.88317,9.2836e-05
557,2.8829,9.25007e-05
558,2.88264,9.21665e-05
559,2.88237,9.18334e-05
560,2.88211,9.15016e-05
561,2.88185,9.11709e-05
562,2.88158,9.08413e-05
563,2.88132,9.05129e-05
564,2.88106,9.01856e-05
565,2.8808,8.98595e-05
566,2.88055,8.95345e-05
567,2.88029,8.92107e-05
568,2.88003,8.88879e-05
569,2.87978,8.85663e-05
570,2.87952,8.82459e-05
571,2.87927,8.79265e-05
572,2.87902,8.76083e-05
573,2.87877,8.72912e-05
574,2.87852,8.69752e-05
575,2.87827,8.66603e-05
576,2.87802,8.63465e-05
577,2.87777,8.60338e-05
578,2.87752,8.57222e-05
579,2.87728,8.54116e-05
580,2.87703,8.51022e-05
581,2.87679,8.47939e-05
582,2.87655,8.44866e-05
583,2.87631,8.41804e-05
584,2.87606,8.38753e-05
585,2.87582,8.35712e-05
586,2.87558,8.32683e-05
587,2.87535,8.29664e-05
588,2.87511,8.26655e-05
589,2.87487,8.23657e-05
590,2.87464,8.20669e-05
591,2.8744,8.17692e-05
592,2.87417,8.14726e-05
593,2.87393,8.1177e-05
594,2.8737,8.08824e-05
595,2.87347,8.05888e-05
596,2.87324,8.02963e-05
597,2.87301,8.00049e-05
598,2.87278,7.97144e-05
599,2.87255,7.9425e-05
600,2.87232,7.91365e-05
601,2.8721,7.88491e-05
602,2.87187,7.85628e-05
603,2.87165,7.82774e-05
604,2.87142,7.7993e-05
605,2.8712,7.77096e-05
606,2.87098,7.74272e-05
607,2.87076,7.71458e-05
608,2.87053,7.68654e-05
609,2.87032,7.6586e-05
610,2.8701,7.63076e-05
611,2.86988,7.60302e-05
612,2.86966,7.57537e-05
613,2.86944,7.54782e-05
614,2.86923,7.52037e-05
615,2.86901,7.49302e-05
616,2.8688,7.46576e-05
617,2.86859,7.43859e-05
618,2.86837,7.41153e-05
619,2.86816,7.38456e-05
620,2.86795,7.35768e-05
621,2.86774,7.3309e-05
622,2.86753,7.30422e-05
623,2.86732,7.27762e-05
624,2.86711,7.25113e-05
625,2.86691,7.22472e-05
626,2.8667,7.19841e-05
627,2.86649,7.17219e-05
628,2.86629,7.14607e-05
629,2.86609,7.12004e-05
630,2.86588,7.0941e-05
631,2.86568,7.06825e-05
632,2.86548,7.04249e-05
633,2.86528,7.01682e-05
634,2.86508,6.99125e-05
635,2.86488,6.96577e-05
636,2.86468,6.94037e-05
637,2.86448,6.91507e-05
638,2.86428,6.88985e-05
639,2.86409,6.86473e-05
640,2.86389,6.83969e-05
641,2.86369,6.81474e-05
642,2.8635,6.78988e-05
643,2.86331,6.76511e-05
644,2.86311,6.74043e-05
645,2.86292,6.71584e-05
646,2.86273,6.69133e-05
647,2.86254,6.66691e-05
648,2.86235,6.64257e-05
649,2.86216,6.61833e-05
650,2.86197,6.59416e-05
651,2.86178,6.57009e-05
652,2.8616,6.5461e-05
653,2.86141,6.52219e-05
654,2.86122,6.49837e-05
655,2.86104,6.47464e-05
656,2.86085,6.45099e-05
657,2.86067,6.42742e-05
658,2.86049,6.40394e-05
659,2.8603,6.38054e-05
660,2.86012,6.35722e-05
661,2.85994,6.33399e-05
662,2.85976,6.31084e-05
663,2.85958,6.28777e-05
664,2.8594,6.26478e-05
665,2.85922,6.24188e-05
666,2.85904,6.21905e-05
667,2.85887,6.19631e-05
668,2.85869,6.17365e-05
669,2.85852,6.15107e-05
670,2.85834,6.12857e-05
671,2.85817,6.10616e-05
672,2.85799,6.08382e-05
673,2.85782,6.06156e-05
674,2.85765,6.03938e-05
675,2.85747,6.01728e-05
676,2.8573,5.99526e-05
677,2.85713,5.97331e-05
678,2.85696,5.95145e-05
679,2.85679,5.92966e-05
680,2.85662,5.90795e-05
681,2.85646,5.88632e-05
682,2.85629,5.86477e-05
683,2.85612,5.84329e-05
684,2.85595,5.82189e-05
685,2.85579,5.80056e-05
686,2.85562,5.77932e-05
687,2.85546,5.75814e-05
688,2.8553,5.73705e-05
689,2.85513,5.71603e-05
690,2.85497,5.69508e-05
691,2.85481,5.67421e-05
692,2.85465,5.65341e-05
693,2.85449,5.63269e-05
694,2.85433,5.61205e-05
695,2.85417,5.59147e-05
696,2.85401,5.57097e-05
697,2.85385,5.55055e-05
698,2.85369,5.53019e-05
699,2.85353,5.50991e-05
700,2.85338,5.4897e-05
701,2.85322,5.46957e-05
702,2.85307,5.44951e-05
703,2.85291,5.42951e-05
704,2.85276,5.4096e-05
705,2.8526,5.38975e-05
706,2.85245,5.36997e-05
707,2.8523,5.35026e-05
708,2.85214,5.33063e-05
709,2.85199,5.31106e-05
710,2.85184,5.29157e-05
711,2.85169,5.27214e-05
712,2.85154,5.25279e-05
713,2.85139,5.2335e-05
714,2.85124,5.21429e-05
715,2.8511,5.19514e-05
716,2.85095,5.17606e-05
717,2.8508,5.15705e-05
718,2.85065,5.13811e-05
719,2.85051,5.11923e-05
720,2.85036,5.10043e-05
721,2.85022,5.08169e-05
722,2.85007,5.06302e-05
723,2.84993,5.04442e-05
724,2.84979,5.02588e-05
725,2.84964,5.00741e-05
726,2.8495,4.989e-05
727,2.84936,4.97067e-05
728,2.84922,4.95239e-05
729,2.84908,4.93419e-05
730,2.84894,4.91605e-05
731,2.8488,4.89797e-05
732,2.84866,4.87996e-05
733,2.84852,4.86202e-05
734,2.84838,4.84414e-05
735,2.84825,4.82632e-05
736,2.84811,4.80857e-05
737,2.84797,4.79088e-05
738,2.84784,4.77326e-05
739,2.8477,4.75569e-05
740,2.84757,4.7382e-05
741,2.84743,4.72076e-05
742,2.8473,4.70339e-05
743,2.84717,4.68608e-05
744,2.84703,4.66883e-05
745,2.8469,4.65165e-05
746,2.84677,4.63453e-05
747,2.84664,4.61747e-05
748,2.84651,4.60047e-05
749,2.84637,4.58353e-05
750,2.84624,4.56665e-05
751,2.84612,4.54984e-05
752,2.84599,4.53308e-05
753,2.84586,4.51639e-05
754,2.84573,4.49975e-05
755,2.8456,4.48318e-05
756,2.84548,4.46666e-05
757,2.84535,4.45021e-05
758,2.84522,4.43381e-05
759,2.8451,4.41748e-05
760,2.84497,4.4012e-05
761,2.84485,4.38498e-05
762,2.84472,4.36882e-05
763,2.8446,4.35272e-05
764,2.84448,4.33668e-05
765,2.84435,4.32069e-05
766,2.84423,4.30476e-05
767,2.84411,4.28889e-05
768,2.84399,4.27308e-05
769,2.84387,4.25733e-05
770,2.84374,4.24163e-05
771,2.84362,4.22599e-05
772,2.8435,4.2104e-05
773,2.84339,4.19487e-05
774,2.84327,4.1794e-05
775,2.84315,4.16399e-05
776,2.84303,4.14862e-05
777,2.84291,4.13332e-05
778,2.8428,4.11807e-05
779,2.84268,4.10288e-05
780,2.84256,4.08774e-05
781,2.84245,4.07265e-05
782,2.84233,4.05762e-05
783,2.84222,4.04265e-05
784,2.8421,4.02773e-05
785,2.84199,4.01286e-05
786,2.84187,3.99805e-05
787,2.84176,3.98329e-05
788,2.84165,3.96858e-05
789,2.84154,3.95393e-05
790,2.84142,3.93933e-05
791,2.84131,3.92479e-05
792,2.8412,3.91029e-05
793,2.84109,3.89585e-05
794,2.84098,3.88146e-05
795,2.84087,3.86713e-05
796,2.84076,3.85284e-05
797,2.84065,3.83861e-05
798,2.84054,3.82443e-05
799,2.84044,3.8103e-05
800,2.84033,3.79622e-05
801,2.84022,3.78219e-05
802,2.84011,3.76822e-05
803,2.84001,3.75429e-05
804,2.8399,3.74042e-05
805,2.83979,3.72659e-05
806,2.83969,3.71282e-05
807,2.83958,3.6991e-05
808,2.83948,3.68542e-05
809,2.83938,3.6718e-05
810,2.83927,3.65822e-05
811,2.83917,3.6447e-05
812,2.83906,3.63122e-05
813,2.83896,3.61779e-05
814,2.83886,3.60441e-05
815,2.83876,3.59109e-05
816,2.83866,3.5778e-05
817,2.83856,3.56457e-05
818,2.83845,3.55139e-05
819,2.83835,3.53825e-05
820,2.83825,3.52516e-05
821,2.83815,3.51212e-05
822,2.83805,3.49912e-05
823,2.83796,3.48618e-05
824,2.83786,3.47328e-05
825,2.83776,3.46042e-05
826,2.83766,3.44762e-05
827,2.83756,3.43486e-05
828,2.83747,3.42215e-05
829,2.83737,3.40948e-05
830,2.83727,3.39686e-05
831,2.83718,3.38428e-05
832,2.83708,3.37176e-05
833,2.83699,3.35927e-05
834,2.83689,3.34684e-05
835,2.8368,3.33444e-05
